frame,distance_cm
0,20.647844258177415
1,20.574957372904613
2,20.575115954790334
3,20.574957372904613
4,20.575115954790334
5,20.647844258177415
6,20.575115954790334
7,20.72124937738513
8,20.575115954790334
9,20.72124937738513
10,20.6480046660817
11,20.795342422365493
12,20.795342422365493
13,20.795178277215918
14,20.869138437029385
15,20.869636583795224
16,21.095729525421255
17,21.24866340799403
18,21.724744256809135
19,22.134874354409774
20,22.476239772827864
21,23.101279178323313
22,23.758642678835514
23,24.456315404417737
24,25.193420399299384
25,26.098516336348137
26,26.8188283747081
27,27.58292134840413
28,28.38885035438129
29,28.952813115115273
30,29.542247323406382
31,30.15071898551807
32,30.954132038275006
33,31.457174372864504
34,32.32957598231303
35,32.87663541241484
36,33.63306444693362
37,34.028238679628345
38,34.43024542185878
39,34.84186372029374
40,35.264403453747185
41,35.47906218783988
42,35.6963502347844
43,36.36341225416523
44,36.58841097086113
45,37.29054881811213
46,38.02015380017526
47,38.52262268298174
48,39.03166878273797
49,40.09479272622758
50,40.38311373729365
51,40.95023968553853
52,41.83140818179745
53,42.76084898295368
54,43.71249290802988
55,44.73591139295927
56,45.081898796211696
57,45.074927546512605
58,45.78278952510932
59,45.78278952510932
60,45.770484567839496
61,46.11472296157648
62,45.770484567839496
63,45.4141523129435
64,45.4141523129435
65,45.04708262809341
66,44.71785480556132
67,43.71249290802988
68,43.07678472215014
69,42.75129131806963
70,41.533505932372655
71,40.3722441442802
72,39.83146820900192
73,38.77215361210609
74,38.013894050392864
75,37.28470396525354
76,36.36020252861825
77,35.26055986061499
78,34.42317393083445
79,33.63306444693362
80,32.68632365514429
81,32.14566204654522
82,31.283225315386023
83,30.790627784597906
84,30.31031568124373
85,29.995589425969047
86,29.390707778302676
87,29.24327894641307
88,28.67042489327394
89,28.25127500727417
90,27.980085116143478
91,27.453026594220983
92,27.194097135031424
93,26.82147773300792
94,26.698638073310484
95,26.458111402923734
96,26.218326515625538
97,25.98459227273801
98,25.754987815512496
99,25.419671709008508
100,25.309298989022967
101,25.091404000451114
102,24.87722852617455
103,24.77005206398979
104,24.45966159491532
105,24.256090665372337
106,24.055880047922855
107,23.857662337892503
108,23.760417178266035
109,23.665212374836987
110,23.47338003387447
111,23.379235702467707
112,23.194365348255946
113,23.101279178323313
114,23.011230887091955
115,22.741887758488183
116,22.653502349240092
117,22.566443645519243
118,22.4787765477918
119,22.39304686482101
120,22.30672526806751
121,22.307343899263294
122,22.13789101135196
123,22.222294430096653
124,22.054126309749133
125,22.054126309749133
126,21.97099310257342
127,22.0535302805676
128,21.970404361630436
129,22.054126309749133
130,21.97099310257342
131,21.888678143917538
132,21.806592821062274
133,21.806592821062274
134,21.806592821062274
135,21.725311835672766
136,21.724744256809135
137,21.644073767482688
138,21.64313928714676
139,21.720772555159783
140,21.638095359849622
141,21.47868041911318
142,21.716236359008278
143,21.95864032302019
144,21.961579409171286
145,21.879185166021365
146,21.879185166021365
147,21.797406437865217
148,21.716236359008278
149,21.79989317289573
150,21.716236359008278
151,21.476310874469593
152,21.473577839899583
153,21.473577839899583
154,21.316613761527353
155,21.155675029910594
156,20.853218060583774
157,20.849740722131642
158,20.701807748040103
159,20.69808817807962
160,20.63198382114237
161,20.56228362645292
162,20.483797345534235
163,20.483797345534235
164,20.480203069622743
165,20.408588830831118
166,20.33365566483086
167,20.184629985219978
168,20.036747715787588
169,20.036747715787588
170,20.234162767756324
171,21.37109062984768
172,20.93405482109216
173,21.97099310257342
174,21.327294890490435
175,21.372166846783074
176,23.290590875046888
178,30.227896661731066
227,30.323459253052228
228,28.766074117294647
229,29.973569456101586
230,29.37015264879371
231,30.15071898551807
232,30.307460940163917
233,30.43393974623755
234,30.559879940553223
235,30.531740217341664
236,30.304607111222836
237,29.542247323406382
238,29.673048389030367
239,28.763681741047478
240,28.229236356520097
241,28.485068474899247
242,28.11059635790769
243,27.71236187593232
244,27.582090121493998
245,27.058485638171586
246,26.434633465808055
247,25.739126624673883
248,25.378292375616088
249,24.606982279629722
250,24.145941217661054
251,23.949718927497102
252,23.25955247733755
253,23.18196078051493
254,23.458777925636117
255,23.405490576622338
256,23.232651953582735
257,23.4296628477195
258,23.46242565975048
259,23.874126137646464
260,24.269942002262656
261,24.668398960166883
262,24.38059463845056
263,24.575470802656397
264,23.97187196600735
265,24.668398960166883
266,23.844056453119823
267,23.651713643770474
268,23.46242565975048
269,23.174014564224954
270,23.725261956207962
271,23.358588844738954
272,23.092730371809516
273,23.320096140102923
274,23.540689954262348
275,23.34087070143704
276,22.804986768791718
277,22.617813818247125
278,22.617813818247125
279,22.530561261092913
280,22.794356743229642
281,22.87112250361748
282,22.248209254958418
283,22.065858894743112
284,21.75793393046887
285,21.845198142575658
286,22.0036504162592
287,21.570466735662393
288,21.49839877588059
289,21.57767980674954
290,21.511577084091176
291,21.511577084091176
292,21.18698927808991
293,21.116915118908512
294,20.9769662947978
295,20.810132700217785
296,20.96549535135104
297,20.877944708225577
298,20.529449768416224
299,20.457590391000995
300,20.544109303685975
301,20.548371647976158
302,20.408588830831118
303,20.548371647976158
304,20.480203069622743
305,20.548371647976158
306,20.396089310800253
307,20.32038987605161
308,20.685006035868682
309,20.325113556547354
310,20.607071467334503
311,20.987104635727174
312,22.300130015707232
313,23.37274710739293
314,23.28204771674367
315,24.55368947146103
316,24.873690232756665
317,25.305553536100597
318,26.221485669409645
319,27.073702606322033
320,29.24732649888738
321,29.53126068672238
322,29.07744983619108
323,29.07000980097516
324,30.771372347109047
325,32.82926271780252
326,35.64732911866656
327,35.399857501793015
328,35.59655628211544
329,36.05454402493792
330,37.52464112670794
331,39.042674356671775
332,40.11904304190217
333,41.19465116268727
334,41.70503135286722
335,41.55243793363367
336,42.04517134308225
337,42.52984930880058
338,42.849148329137975
339,42.849148329137975
340,43.781112890860705
341,43.86692431330634
342,43.781112890860705
343,44.10025618848625
344,44.32950567779758
345,44.65486917649335
346,45.08422343844745
347,45.17991994673898
348,45.5197218612866
349,45.961366348800134
350,46.213783471964035
351,46.31364791351155
352,46.213783471964035
353,45.42132122421051
354,44.65486917649335
355,44.75173314298788
356,44.75173314298788
357,45.17991994673898
358,45.17991994673898
359,45.17991994673898
360,44.65486917649335
361,44.32950567779758
362,44.32950567779758
363,44.42377035520382
364,44.32950567779758
365,44.42377035520382
366,44.10025618848625
367,43.86692431330634
368,44.27286639153902
369,44.601142718559494
370,44.27286639153902
371,44.43037471637289
372,45.25042350561585
373,45.25042350561585
374,46.30593721979555
375,45.66760907577437
376,45.73364382238414
377,45.851926942016
378,44.85394334348375
379,44.627975942425344
380,44.70207747210855
381,45.074927546512605
382,45.43327880400782
383,44.71785480556132
384,45.00081636006004
385,44.936339569906565
386,44.936339569906565
387,44.89736015917638
388,44.89736015917638
389,44.89736015917638
390,44.55655337513542
391,44.85394334348375
392,44.80613740303981
393,44.41716963044826
394,44.69757345759105
395,44.572140830618956
396,44.303331150828114
397,43.91322620538861
398,43.91322620538861
399,44.572140830618956
400,45.25042350561585
401,45.66760907577437
402,45.66760907577437
403,44.83798696853001
404,44.908811637524764
405,44.908811637524764
406,44.36230452089963
407,43.52734234483819
408,43.77902765633615
409,43.70627436852492
410,41.81906035826319
411,40.40021585040679
412,41.86853140513614
413,42.705523140984894
414,44.97544515778987
415,44.41716963044826
416,45.283465879539776
417,44.627975942425344
418,43.92588534423627
419,43.30691955996797
420,44.2208209658491
421,43.98514004728321
422,44.318592667568915
423,43.33299322435715
424,42.13361030182732
425,41.533505932372655
426,40.664701275120954
427,41.228086838626744
428,40.63924249583368
429,41.19465116268727
430,41.14800577097425
431,41.76102722271283
432,41.83140818179745
433,42.104657744273744
434,41.533505932372655
435,39.84330313313534
436,40.39554904978009
437,41.54727155300559
438,41.54727155300559
439,42.45509853804948
440,42.76658733904103
441,42.45509853804948
442,42.456961460625585
443,41.8402361817574
444,42.142672872926845
445,42.45509853804948
446,43.08268006951254
447,42.76658733904103
448,42.45509853804948
449,42.45509853804948
450,42.45509853804948
451,41.8402361817574
452,41.847303464537134
453,42.45509853804948
454,42.456961460625585
455,42.14811382830084
456,41.54899342070778
457,41.8402361817574
458,42.440205901316254
459,42.13361030182732
460,42.69981471952416
461,43.65664315150438
462,43.355100699062476
463,44.34261443570652
464,45.70425097013815
465,44.46786829364794
466,44.41716963044826
467,45.49805350454287
468,45.383135759183304
469,45.383135759183304
470,44.97544515778987
471,46.08945089737987
472,46.15272877240173
473,46.08945089737987
474,46.51583688701166
475,46.51583688701166
476,46.9466337475751
477,46.63136941265284
478,46.264894830515715
479,47.00358897173915
480,47.76579238237064
481,47.322979925930454
482,47.25899894413032
483,47.18982437024471
484,47.11554432015923
485,46.95204682795286
486,46.66835716462819
487,46.95204682795286
488,46.95204682795286
489,46.58660381835236
490,46.95204682795286
491,46.95204682795286
492,46.86303115542198
493,46.50016577364795
494,46.40914515601952
495,46.50016577364795
496,46.22654142859466
497,46.884552210068414
498,47.562313656214506
499,47.562313656214506
500,47.984374381414305
501,48.45458231511814
502,47.66220776636629
503,47.619298535356435
504,47.95207719228181
505,47.52541193869423
506,47.4350375178167
507,48.95559411067061
508,47.705264224978045
509,47.95207719228181
510,47.87315167916529
511,48.17394400622517
512,48.17394400622517
513,48.564907821104775
514,48.26078880250622
515,47.95207719228181
516,46.884552210068414
517,46.9466337475751
518,47.48296768388907
519,46.35743320115629
520,45.75327840334008
521,45.75327840334008
522,45.42610284613507
523,44.39519343091307
524,45.37598931250453
525,45.635941466092966
526,46.884552210068414
527,47.699514823989226
528,49.44407399520857
529,49.72409038842367
530,50.260836948914466
531,50.131499956402976
532,49.67028162416893
533,51.10256079227472
534,51.79909819217496
535,51.151373429945764
536,51.696742769607084
537,51.922185854039625
538,50.927589892175554
539,50.71849166947034
540,51.25333908818594
541,51.04273278060945
542,51.151373429945764
543,51.25333908818594
544,50.81712022622124
545,51.43659430964961
546,50.38438287732499
547,50.96833093369122
548,50.555753353768694
549,50.998040835643515
550,51.43659430964961
551,50.94239010849004
552,51.81095978801969
553,51.65758627087042
554,51.970142845512676
555,51.072612558292946
556,52.3437131992374
557,52.711177055001414
558,53.42430147663528
559,54.736969666406786
560,54.24860085695741
561,56.17413384056952
562,55.88718999106256
563,58.06539688373433
564,59.345951843292006
565,59.807356851704554
566,58.35064559315166
567,60.551633872701686
568,60.551633872701686
569,60.255053628449616
570,59.325335334301045
571,58.919255773935284
572,60.67959431769817
573,61.172002773795725
574,58.919255773935284
575,58.919255773935284
576,57.25504809905066
577,56.29502995876875
578,57.16656189327237
579,57.33219706205776
580,56.84113572534046
581,56.93333389833809
582,56.979665209153595
583,56.428142708831594
584,56.979665209153595
585,57.52395571245238
586,56.93333389833809
587,58.06539688373433
588,56.93333389833809
589,57.45173450003843
590,57.45173450003843
591,57.45173450003843
592,58.02154604039074
593,58.06539688373433
594,58.06539688373433
595,58.06539688373433
596,58.06539688373433
597,58.681151828301175
598,58.12198058006592
599,58.7074081933755
600,58.7008394696805
601,59.29789376592858
602,59.277347811929744
603,59.277347811929744
604,58.60267788112866
605,58.60267788112866
606,57.96536896858578
607,59.060046858427704
608,57.25504809905066
609,58.97272343014644
610,59.060046858427704
611,59.13436412844215
612,59.80025148780869
613,59.19546411668062
614,59.19546411668062
615,59.80025148780869
616,59.19546411668062
617,59.19546411668062
618,59.80025148780869
619,60.46945025003566
620,59.13436412844215
621,59.13436412844215
622,58.60267788112866
623,58.64840069205675
624,58.64840069205675
625,59.19546411668062
626,59.85006466478809
627,59.24317139424613
628,58.06539688373433
629,58.06539688373433
630,58.02154604039074
631,56.93333389833809
632,57.45173450003843
633,58.02154604039074
634,59.060046858427704
635,58.54411079717739
636,58.54411079717739
637,58.54411079717739
638,58.54411079717739
639,58.54411079717739
640,58.54411079717739
641,58.4728613025282
642,58.54411079717739
643,56.383628260490894
644,61.69028865819018
645,58.4728613025282
646,60.35075925472555
647,58.64840069205675
648,56.428142708831594
649,56.93333389833809
650,59.277347811929744
651,59.24317139424613
652,58.09680383383824
653,58.06539688373433
654,57.49381774341127
655,58.64840069205675
656,57.54207002793699
657,58.681151828301175
658,58.115682118171854
659,58.115682118171854
660,58.7008394696805
661,58.7074081933755
662,59.3047491199704
663,58.115682118171854
664,58.115682118171854
665,58.12198058006592
666,58.7074081933755
667,58.09680383383824
668,58.681151828301175
669,58.09680383383824
670,57.45173450003843
671,56.89292130163814
672,58.06539688373433
673,59.80025148780869
674,62.27047512162932
675,61.424789429028515
676,64.08128643153103
677,63.516281898261894
678,63.39675488902469
679,64.08128643153103
680,64.08128643153103
681,62.726073540225556
682,62.840087153685495
683,65.11680073871125
684,62.449254018065545
685,62.346819591939756
686,63.01729390504732
687,60.97760855349289
688,63.01729390504732
689,63.07984045222893
690,63.84314766481484
691,63.84314766481484
692,63.70214565233827
693,62.06887227282135
694,62.93727807123932
695,63.70214565233827
696,62.93727807123932
697,62.177718625466255
698,62.840087153685495
699,63.618207542064106
700,63.516281898261894
701,62.06887227282135
702,61.52878705810936
703,62.93727807123932
704,63.70214565233827
705,64.31369124542952
706,63.618207542064106
707,63.618207542064106
708,61.61738515930742
709,61.04728300126015
710,58.681151828301175
711,58.09680383383824
712,58.12198058006592
713,59.29789376592858
714,58.06539688373433
715,58.06539688373433
716,59.19546411668062
717,57.96536896858578
718,57.96536896858578
719,57.45173450003843
720,58.02154604039074
721,57.45173450003843
722,56.84113572534046
723,57.33219706205776
724,57.39781480952959
725,56.84113572534046
726,57.49381774341127
727,57.52395571245238
728,57.54207002793699
729,57.54811340186668
730,57.54811340186668
731,58.115682118171854
732,57.54207002793699
733,57.54207002793699
734,56.43371717154834
735,56.43371717154834
736,56.43371717154834
737,55.88718999106256
738,56.43371717154834
739,56.43371717154834
740,56.43371717154834
741,56.43371717154834
742,56.428142708831594
743,55.88718999106256
744,55.88718999106256
745,55.341054928912264
746,54.79618277447983
747,55.23338317646885
748,54.210662368130556
749,55.03565464041101
750,54.95035760625715
751,54.75174870629852
752,55.36681704727069
753,54.02722598367365
754,55.77513879907055
755,55.77513879907055
756,54.95035760625715
757,56.95648009891758
758,59.658893938729264
759,59.4980734400696
760,58.49872809232279
761,57.79203520228278
762,55.14176639236729
763,53.28213196233764
764,53.65859499363996
765,53.46008107376577
766,54.3534850744679
767,53.119611164274176
768,51.970142845512676
769,53.054283710337614
770,53.119611164274176
771,53.94804182045998
772,53.66314100303962
773,54.09748321798897
774,55.177321846963196
775,55.11136411762995
776,53.66314100303962
777,52.27388454982984
778,52.64360456123382
779,48.710402032984945
780,51.51758054138137
781,50.70394334178685
782,52.3437131992374
783,52.03838160479009
784,50.476927705308995
785,49.55002870195615
786,48.81670074226135
787,48.88911524743122
788,48.09362171788605
789,47.820808329926024
790,47.52541193869423
791,46.80136514483413
792,46.8308193592232
793,46.481907896816786
794,46.51322365414836
795,46.1451182037197
796,46.52106501121129
797,46.52106501121129
798,46.15272877240173
799,46.52106501121129
800,46.15272877240173
801,45.790178446287726
802,46.1451182037197
803,46.11472296157648
804,46.50016577364795
805,46.11472296157648
806,46.8549703668809
807,46.50016577364795
808,46.1324443834545
809,46.481907896816786
810,46.11472296157648
811,46.11472296157648
812,46.481907896816786
813,46.091975765699914
814,46.80136514483413
815,47.14300386106954
816,47.10183721149379
817,46.72670489506356
818,46.39619682920541
819,46.39619682920541
820,46.7666455424043
821,46.7666455424043
822,46.7666455424043
823,46.80136514483413
824,46.80136514483413
